train-rmse,6170.483203076066
train-mape,0.06267664680854489
train-r2,0.7422328515436614
train-rmse-25,6816.125450863019
train-mape-25,0.055062358707845295
train-r2-25,-0.05759494817814037
val-rmse,7252.072567870673
val-mape,0.06991501723107688
val-r2,0.6299892385860153
val-rmse-25,8032.83800552744
val-mape-25,0.06160425717922897
val-r2-25,-1.9177642425515176
test-rmse,6001.5048998662105
test-mape,0.0616816765768599
test-r2,0.7048460442698634
test-rmse-25,5963.991260068466
test-mape-25,0.05044461680690257
test-r2-25,-0.02223120188064076
